Name,ranking
Ruhr University Bochum,285
Sejong University,286
University of Sharjah,287
Simon Fraser University,288
University of Southern Denmark,289
Stellenbosch University,290
Sun Yat-sen University,291
Swansea University,292
Tilburg University,293
Tongji University,294
University of Twente,295
United Arab Emirates University,296
University of Utah,297
Virginia Polytechnic Institute and State University,298
University of the Witwatersrand,299
Abu Dhabi University,300
Aix-Marseille University,301
Alfaisal University,302
Anglia Ruskin University (ARU),303
Autonomous University of Madrid,304
University of Bordeaux,305
Brandeis University,306
Universiti Brunei Darussalam,307
University at Buffalo,308
"University of California, Merced",309
University of Colorado Denver/Anschutz Medical Campus,310
Dalhousie University,311
Drexel University,312
École Normale Supérieure de Lyon,313
University of Essex,314
Flinders University,315
Florida State University,316
University of Galway – Ollscoil na Gaillimhe,317
George Mason University,318
Hasselt University,319
University of Iowa,320
Lappeenranta-Lahti University of Technology LUT,321
University of Milan,322
University of Milan-Bicocca,323
Montpellier University,324
Nagoya University,325
Nankai University,326
University of Otago,327
University of Oulu,328
Politecnico di Milano,329
Reykjavík University,330
RMIT University,331
University of St Gallen,332
Saint Louis University,333
University of South Australia,334
University of Southern Queensland,335
Stony Brook University,336
University of Stuttgart,337
Swinburne University of Technology,338
Taipei Medical University,339
Tampere University,340
University of Tasmania,341
Technical University of Darmstadt,342
Temple University,343
The University of Tennessee-Knoxville,344
Tokyo Institute of Technology,345
University College Cork,346
University of Victoria,347
American University of Beirut,348
"Asia University, Taiwan",349
Ateneo de Manila University,350
"Birkbeck, University of London",351
University of Bremen,352
University of Brescia,353
University of Cape Coast,354
Catholic University of Portugal,355
Central South University,356
Charles Darwin University,357
"City, University of London",358
University of Delaware,359
East China Normal University,360
Edith Cowan University,361
Golestan University of Medical Sciences,362
University of Greifswald,363
University of Hail,364
Harbin Institute of Technology,365
Howard University,366
Imam Mohammad Ibn Saud Islamic University,367
IMT Atlantique,368
James Cook University,369
JSS Academy of Higher Education and Research,370
University of Kent,371
Khalifa University,372
Kurdistan University of Medical Sciences,373
Leuphana University of Lüneburg,374
University of Liège,375
Loughborough University,376
University of Malaya,377
University of Manitoba,378
Mazandaran University of Medical Sciences,379
University of Naples Federico II,380
University of New Mexico (Main campus),381
North Carolina State University,382
University of Rome II – Tor Vergata,383
"Royal Holloway, University of London",384
Royal Veterinary College,385
Rush University,386
Shoolini University of Biotechnology and Management Sciences,387
University of Stirling,388
Swedish University of Agricultural Sciences,389
University of Texas at Dallas,390
Tulane University,391
University of Turku,392
University of Vaasa,393
Verona University,394
Wake Forest University,395
Washington State University,396
Wroclaw Medical University,397
Alagappa University,398
University of Alaska Fairbanks,399
Arak University of Medical Sciences,400
Aston University,401
Aswan University,402
Babol University of Medical Sciences,403
Babol Noshirvani University of Technology,404
Bangor University,405
University of Bayreuth,406
Brunel University London,407
University of Campinas,408
Cankaya University,409
University of Catania,410
Claude Bernard University Lyon 1,411
Colorado School of Mines,412
"Colorado State University, Fort Collins",413
Complutense University of Madrid,414
University of Connecticut,415
University of Crete,416
University of Cyprus,417
University of Denver,418
Dublin City University,419
Duy Tan University,420
Edinburgh Napier University,421
University of Electronic Science and Technology of China,422
Ferhat Abbas Sétif University 1,423
University of Ferrara,424
University of Florence,425
Free University of Bozen-Bolzano,426
University of Genoa,427
Georgia State University,428
Université Grenoble Alpes,429
Hanyang University,430
Hunan University,431
University of Ibadan,432
Illinois Institute of Technology,433
University of Innsbruck,434
Institut Agro,435
University of International Business and Economics,436
Iowa State University,437
Jazan University,438
Justus Liebig University Giessen,439
University of Jyväskylä,440
University of Kansas,441
University of Klagenfurt,442
Koç University,443
University of KwaZulu-Natal,444
University of Lagos,445
Leibniz University Hannover,446
Lincoln University,447
University of Lincoln,448
Liverpool John Moores University,449
Mahatma Gandhi University,450
University of Marburg,451
Maynooth University,452
Middlesex University,453
University of Modena and Reggio Emilia,454
Muhimbili University of Health and Allied Sciences,455
Murdoch University,456
National and Kapodistrian University of Athens,457
University of Nebraska-Lincoln,458
University of Nebraska Medical Center,459
Norwegian University of Science and Technology,460
Nova Southeastern University,461
Örebro University,462
University of Passau,463
University of Pisa,464
University of Plymouth,465
Pontificia Universidad Católica de Chile,466
University of Porto,467
University of Portsmouth,468
Qazvin University of Medical Sciences,469
Qom University of Medical Sciences,470
Quaid-i-Azam University,471
Sabancı University,472
Sharif University of Technology,473
Shenzhen University,474
University of Siena,475
South China University of Technology,476
Southeast University,477
Southern Medical University,478
SRUC (Scotland’s Rural College),479
University of Strathclyde,480
Sumy State University,481
Syracuse University,482
Universiti Teknologi Petronas,483
Tianjin University,484
Ton Duc Thang University,485
University of Trento,486
The University of Tulsa,487
University of Turin,488
TU Wien,489
Umeå University,490
Urmia University of Medical Sciences,491
Universiti Utara Malaysia,492
Victoria University of Wellington,493
University of Waikato,494
University of the West of England,495
William & Mary,496
Xiamen University,497
York University,498
Aberystwyth University,499
An-Najah National University,500
University of L’Aquila,501
Beihang University,502
Beijing Institute of Technology,503
Birmingham City University,504
University of Bradford,505
Bucharest University of Economic Studies,506
Centrale Nantes,507
Changsha University of Science and Technology,508
Charles University in Prague,509
University of Côte d’Azur,510
Damietta University,511
Durban University of Technology,512
Eastern Mediterranean University,513
École des Mines de Saint-Étienne,514
Federal University of Toulouse Midi-Pyrénées,515
Florida International University,516
University of Fribourg,517
"Goldsmiths, University of London",518
Government College University Faisalabad,519
University of Greenwich,520
University of Guelph,521
Gwangju Institute of Science and Technology (GIST),522
Harokopio University,523
Heriot-Watt University,524
Hokkaido University,525
Hong Kong Baptist University,526
University of Hull,527
University of Iceland,528
Indian Institute of Technology Ropar,529
University of Insubria,530
"International Institute of Information Technology, Hyderabad",531
Iran University of Science and Technology,532
"Islamic Azad University, Najafabad Branch (IAUN)",533
Jacobs University,534
Jamia Millia Islamia,535
Jimma University,536
Johannes Kepler University of Linz,537
Jordan University of Science and Technology,538
Kafrelsheikh University,539
Kashan University of Medical Sciences and Health Services,540
Keele University,541
University of Kentucky,542
Kermanshah University of Medical Sciences,543
University of Kragujevac,544
Kyushu University,545
Lebanese American University,546
University of Lille,547
University of Lisbon,548
University of Management and Technology,549
University of Messina,550
Middle East Technical University,551
Missouri University of Science and Technology,552
University of Mons,553
National Tsing Hua University,554
National Yang Ming Chiao Tung University,555
University of Neuchâtel,556
University of Nicosia,557
Northumbria University,558
Northwestern Polytechnical University,559
Nottingham Trent University,560
Open University of Catalonia,561
University of Peradeniya,562
Universitat Ramon Llull,563
University of Salerno,564
University of Saskatchewan,565
University of Sassari,566
Saveetha Institute of Medical and Technical Sciences,567
Sciences Po,568
Shiraz University of Technology,569
SOAS University of London,570
University of South Carolina-Columbia,571
Southwestern University of Finance and Economics,572
University of Stavanger,573
Stevens Institute of Technology,574
SUNY University at Albany,575
University of Tabuk,576
Technion Israel Institute of Technology,577
Tokyo Medical and Dental University (TMDU),578
University of Trieste,579
University of Tsukuba,580
TU Dortmund University,581
University of Tuscia,582
University of Udine,583
UiT The Arctic University of Norway,584
University of Valencia,585
